Marca de tiempo,Status,Status viaje,Tipo incidente,Ref. Tourplan,Agencia,Proveedor,Servicio,Impacto,PAX PIDIÓ CAMBIO/CXL?
"Nov 30, 2025, 7:07:26 PM",En proceso,En tránsito,Informativo,WPFI107304,Agencia 2,P-025,Ice trek Moreno Glacier,Bajo,SI
"Dec 1, 2025, 11:21:41 AM",Pendiente,Post-viaje,Queja,WPFI108590,Agencia 11,P-007,"Day Trip Lago del Desierto Trek & boat - Shared, self-guided",Medio,
"Dec 1, 2025, 4:40:55 PM",Resuelto,En tránsito,Cancelación,WPFI107414,Agencia 2,P-007,Kayak Lago del Desierto con traslado privado,Bajo,SI
"Dec 3, 2025, 3:07:00 PM",Resuelto,En tránsito,Cancelación,WPFI107158,Agencia 2,G-014,Trek Laguna Torre,Bajo,SI
"Dec 4, 2025, 2:59:23 PM",En proceso,En tránsito,Cancelación,WPFI107351,Agencia 4,"G-017, P-010",Trek Laguna de los Tres SIB ,Bajo,
"Dec 5, 2025, 9:28:58 PM",Resuelto,En tránsito,Modificación,WPFI107119,Agencia 12,,Entradas al Parque Nacional,Bajo,
"Dec 7, 2025, 11:47:02 AM",Resuelto,En tránsito,Cancelación,WPFI107425,Agencia 2,G-007,Trek Laguna Torre SIB,Bajo,SI
"Dec 7, 2025, 4:13:35 PM",En proceso,En tránsito,Cancelación,WPFI109554,Agencia 11,,Trek Laguna de los Tres SIB ,Medio,
"Dec 7, 2025, 4:24:18 PM",Resuelto,En tránsito,Informativo,WPFI106055,Agencia 4,,Entradas al Parque Nacional,Bajo,
"Dec 7, 2025, 4:54:11 PM",Resuelto,En tránsito,Informativo,WPGR109435,Agencia 16,,Trek Laguna de Los Tres - Private guide & private transport,Bajo,
"Dec 7, 2025, 5:52:45 PM",Resuelto,En tránsito,Informativo,WPFI108443,Agencia 2,,,Medio,NO
"Dec 7, 2025, 8:17:28 PM",Resuelto,En tránsito,Modificación,WPFI106361,Agencia 2,,,Bajo,SI
"Dec 8, 2025, 9:22:31 PM",Resuelto,En tránsito,Informativo,WPFI108087,Agencia 11,,Box lunch,Bajo,
"Dec 10, 2025, 3:19:08 PM",En proceso,En tránsito,Modificación,WPFI106543,Agencia 4,"P-010, P-009","Transfer El Chaltén/Río Eléctrico bridge - Shared, Box Lunch",Bajo,
"Dec 10, 2025, 11:49:05 PM",En proceso,En tránsito,Modificación,WPFI108731,Agencia 2,,,Medio,SI
"Dec 11, 2025, 12:48:27 PM",Resuelto,En tránsito,Cancelación,WPFI109378,Agencia 2,P-015,Traslado Puerto - Aeropuerto USH,Medio,SI
"Dec 11, 2025, 4:37:59 PM",Pendiente,En tránsito,Cancelación,WPFI107169,Agencia 11,"P-010, Vianda, Guias","Trek Laguna de Los Tres - Private guide & private transport, Box lunch",Alto,
"Dec 11, 2025, 8:05:46 PM",Resuelto,Post-viaje,Cancelación,WPFI110098,Agencia 11,G-013,Trek Laguna Torre SIB,Bajo,
"Dec 11, 2025, 8:18:32 PM",Resuelto,En tránsito,Modificación,WPFI109968,Agencia 11,G-014,Trek Laguna de los Tres SIB ,Medio,
"Dec 14, 2025, 3:15:30 PM",En proceso,En tránsito,Cancelación,WPFI110097,Agencia 12,,,Medio,
"Dec 15, 2025, 9:51:41 PM",En proceso,En tránsito,Modificación,WPFI108393,Agencia 2,,,Bajo,SI
"Dec 16, 2025, 12:39:20 PM",Resuelto,En tránsito,Cancelación,WPFI109649,Agencia 2,G-002,Trek Laguna Torre SIB,Bajo,SI
"Dec 21, 2025, 2:43:50 PM",Resuelto,En tránsito,Informativo,WPFI110034,Agencia 23,P-016,Transfer El Chaltén - Aeropuerto,Medio,
"Dec 21, 2025, 10:05:02 PM",Resuelto,En tránsito,Cancelación,WPFI109152,Agencia 2,,,Bajo,SI
"Dec 21, 2025, 10:55:04 PM",Resuelto,En tránsito,Informativo,WPFI107927,Agencia 11,,,Bajo,
"Dec 23, 2025, 4:12:24 PM",En proceso,En tránsito,Cancelación,WPFI106700,Agencia 2,,,Bajo,SI
